epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,5925.28,1.23525,2.23764,1.16522,0.00815,0.91772,0.70426,0.62547,0.68006,0.46734,0.6408,0.57052,0.55902,0.32327,1.2412,2.40243,1.30395,0.01361,0,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,6016.26,1.23341,2.2593,1.17661,0.00831,0.90094,0.6765,0.63765,0.6693,0.45486,0.63043,0.58168,0.57088,0.33331,1.21885,2.30319,1.32903,0.0133,0,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,6107.19,1.22914,2.22842,1.16467,0.00816,0.90411,0.69196,0.65211,0.67831,0.47077,0.64646,0.57414,0.56431,0.32782,1.21516,2.38382,1.28347,0.01325,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,6198.06,1.23496,2.24924,1.17479,0.00824,0.88867,0.69012,0.63447,0.67154,0.46312,0.62611,0.57646,0.56957,0.32558,1.21623,2.37733,1.32583,0.01331,0,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,6288.82,1.25479,2.24602,1.16971,0.00817,0.88724,0.69645,0.64606,0.68811,0.47791,0.62879,0.58454,0.56949,0.33158,1.20515,2.29807,1.29497,0.01292,0,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,6379.84,1.23247,2.24993,1.15859,0.00815,0.88242,0.70951,0.62059,0.67986,0.46811,0.66095,0.57907,0.57685,0.33253,1.22799,2.343,1.29881,0.01341,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,6470.7,1.23122,2.22618,1.16006,0.00825,0.87794,0.69129,0.63004,0.67473,0.4704,0.65263,0.55436,0.55916,0.32857,1.23536,2.32601,1.34496,0.01334,0,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
72,6561.34,1.21577,2.22413,1.14788,0.0083,0.87747,0.70927,0.62904,0.68034,0.4718,0.64702,0.56787,0.57411,0.33152,1.22569,2.38101,1.30987,0.01296,0,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,6651.79,1.22783,2.24924,1.1564,0.00831,0.88994,0.68668,0.63566,0.67348,0.46711,0.62321,0.57487,0.57507,0.33286,1.20757,2.36646,1.30108,0.01293,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,6741.57,1.22738,2.25112,1.15123,0.0082,0.88933,0.70865,0.63982,0.68749,0.47375,0.67304,0.57531,0.58407,0.33773,1.23089,2.40373,1.29507,0.01344,0,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,6832.05,1.22466,2.22277,1.15322,0.00824,0.8902,0.73593,0.61554,0.68253,0.47028,0.68215,0.55107,0.57905,0.33322,1.22943,2.32282,1.28906,0.01318,0,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,6923.16,1.21812,2.21323,1.13865,0.00815,0.85997,0.73168,0.61231,0.67545,0.47205,0.67318,0.56209,0.57998,0.34874,1.21714,2.38552,1.32347,0.01296,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,7014.27,1.21629,2.21708,1.14481,0.00804,0.86399,0.6695,0.6577,0.68288,0.47464,0.61332,0.60972,0.58753,0.3389,1.19993,2.37139,1.30502,0.01258,0,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,7105.46,1.22791,2.23766,1.14893,0.00805,0.85976,0.68449,0.6485,0.68163,0.47383,0.63649,0.57332,0.56727,0.33238,1.18986,2.37183,1.30292,0.01264,0,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,7196.63,1.22287,2.22963,1.14693,0.00818,0.87875,0.70182,0.6391,0.68529,0.47703,0.65754,0.56959,0.56941,0.33038,1.21457,2.42939,1.2922,0.01288,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,7288.24,1.21385,2.20368,1.12955,0.00804,0.84652,0.73518,0.61341,0.68271,0.4825,0.66693,0.55945,0.58046,0.33851,1.1684,2.43579,1.27306,0.01253,0,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,7379.96,1.21336,2.19424,1.12094,0.00806,0.83775,0.69858,0.62362,0.67779,0.47453,0.65746,0.56223,0.57619,0.33815,1.21528,2.37231,1.30112,0.01314,0,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,7471.18,1.21551,2.2159,1.12997,0.00811,0.88279,0.69664,0.63988,0.66846,0.4621,0.64043,0.57907,0.57235,0.3396,1.21169,2.41577,1.33824,0.01308,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
